sentence_id	sentence	sentence_domain	source
01e0b79825421611fd0f9db8b270b2a26b589d1d852658c89dcd41496db359d6	Mustaphagantaka da aka danganta da amincin gaba daya tabbas zai gagara.		Translators without Borders Gamayun kits
0d5d1cfbd7b91bc7b337bac7cf5fbfa1898ae629640adf0306b375ce1592b6d4	A bangarena ina fatan ba a zabi mikiya mai sanko ta wakilci kasarmu ba.		Translators without Borders Gamayun kits
0dc953cbbf203b4971bc0821d737d92ba307e6a089a268752e72f9f762d5c033	Jauro watakila bai san yadda Khalifat ta tsane shi ba.		Translators without Borders Gamayun kits
0ec1689de1d5464f62ecb59461d77a5a0d339f590cee5c0b5a66b5c743e2ba67	Olivar ya kasa yadda da Khalifat ko da na dakika daya.		Translators without Borders Gamayun kits
25ee1260a0565065e73fb606807fbf278c37cf28fd755f53c7a0fd7af7176a1b	A karshe kuma za ku tafi Austarlia tare da Alikoaa?		Translators without Borders Gamayun kits
324ba5891b412eb57fb4fadfbb7049b53b8f81b8e0d03e78d8c114aad864a40e	Wannan wane irn wasa ne?		Translators without Borders Gamayun kits
34e7a50829e6ef1f5ca066f174e2d57991bd976108546a8c2b71ef65b4832099	Mahifina na aiki a kamfani.		Translators without Borders Gamayun kits
450f2484033482068688ed57a2c99f4be9882d6ab5a3fa86f82078476169cf34	Idan ka cigaba da yin hakan Aliyu zai yi maka fada.		Translators without Borders Gamayun kits
469f4af2f20c63413e7a817c0ba5225fc817e710b8e5444aab1a025024c2f736	Hafsat ba ta taba gaya wa Ibrahim tana sonsa ba.		Translators without Borders Gamayun kits
46d147f18d2b96ba7ca795711208165e236895d79d3059ad9b51131cf1636aca	Ba ku taba kiransu ba?		Translators without Borders Gamayun kits
4863da54c12336d61b16a09556db50d2d594c5da0bf6df593fc4c5376061b2ee	Za a nuna guntu fim a yayin bude taron.		Translators without Borders Gamayun kits
4991b7439b22fc3a9068eec17c37cd7678a591d23d0a88b973858d2932668832	Sahun ƙafar sa ya nuna cikin dusar ƙanƙarar.		Translators without Borders Gamayun kits
4a7b4971cac93e5c373f2cc2f66147b2e769ee65b6d34acfef2312f6e18acd46	Habibu ba matata bace, matar abokina ce.		Translators without Borders Gamayun kits
