file_path	transcriptions
common_voice_ha_41983288.wav	Jalal ya girme min sosai.
common_voice_ha_41983289.wav	Ina sauran ya ke?
common_voice_ha_41983290.wav	Idan muka yi bacci, zafin jikinmu na sauka da digiri da dama.
common_voice_ha_41983291.wav	Zulai kyakkyawa ce, ko ba haka ba?
common_voice_ha_41983292.wav	Birnin mu yana zaune bisa kuskure.
common_voice_ha_41983293.wav	Kowacce shekara, yayin taron, muna fuskantar wasu baƙin juju.
common_voice_ha_41983294.wav	Na san me ka yi a Australia.
common_voice_ha_41983295.wav	Lokaco ɗaya na ji wani raɗaɗi a gefena.
common_voice_ha_41983296.wav	Shaidar daɗin abincin sai an ci.
common_voice_ha_41983297.wav	Hakika wannan farashi ne mai kyau.
common_voice_ha_41983298.wav	Ba sai na yi bayanin kai na ba.
common_voice_ha_41983299.wav	Bana tsammanin abinda muka yi ne ya sa Aliyu jin haushi.
common_voice_ha_42006338.wav	Mun zo tare domin samar dea wata ƙungiya.
common_voice_ha_42006339.wav	Abdullahi na fatan za ku yi domin sa.
common_voice_ha_42006340.wav	Ina bukatar ki, sai gashi kin zo.
common_voice_ha_42006341.wav	Yin hakan hatsari ne.
common_voice_ha_42006342.wav	Kuliyan ta yi amfani da babban ciyawa don hawa kan tsuntsu.
common_voice_ha_42006357.wav	babu wani yanayi mai zuwa a yankin sagagin da ma yanayi
common_voice_ha_42006358.wav	Ishaku na son wasan ninkaya shima.
common_voice_ha_42006359.wav	Ba zan iya tuna hakikanin kalmomin ba.
common_voice_ha_42006360.wav	Babban zauren ba kowa.
common_voice_ha_42006361.wav	Mene ne ainihin abinda ke zuciyar ka?
common_voice_ha_42006378.wav	Hadiza na da katon agogo.
common_voice_ha_42006379.wav	Aboki, ina taya ka bakin ciki.
common_voice_ha_42006380.wav	Ba wani killataccen waje ne mai zafi ba, waje ne na ninƙaya.
common_voice_ha_42006381.wav	An dokance baki wanda ba iyan gida ba ne shigan wasu babban ɗakuna.
common_voice_ha_42006382.wav	Sun ce sun shirya su yi hakan.
common_voice_ha_42006393.wav	Masu zanen na ta yi mata tambayoyi.
common_voice_ha_42006394.wav	Ibrahima na da gajerun hannuwa da aljihu mai zurfi.
common_voice_ha_42006395.wav	Da alama Hassan ba zai iso da wuri ba.
common_voice_ha_42006396.wav	Hassan na ta zubar da jini daga raunin da ya samu daga harbin bindiga.
common_voice_ha_42006397.wav	Mutane suna da taurin kai.
common_voice_ha_42006402.wav	Tabbas wannan rashin fahimta ne. Kina yaba min sosai.
common_voice_ha_42006404.wav	Akwai al'adar cin abinci na shinkafa don Sabuwar Shekara a Japan.
common_voice_ha_42006405.wav	zan tura muku hoto
common_voice_ha_42006406.wav	Mustapha baya nuna kowane alamar kwakwalwa shi na aiki.
common_voice_ha_42006417.wav	A wane matsayi Babangida yake?
common_voice_ha_42006418.wav	Ni da Yusuf mun san juna tun muna yara.
common_voice_ha_42006419.wav	Abdullahi bai ji dadin abin da ya faru ba.
common_voice_ha_42006420.wav	Dole mijin Hafsat na kewarta.
common_voice_ha_42006421.wav	Zan shirya hakan.
common_voice_ha_42456140.wav	An bada abincin rana.
common_voice_ha_42456141.wav	Yarinyar ta yaga rigar.
common_voice_ha_42456142.wav	Duk sun shiga!
common_voice_ha_42456145.wav	Na faɗawa Habibu ya yi magana da kai da faransanci.
common_voice_ha_42456147.wav	Ya kusa nutsewa.
common_voice_ha_42595174.wav	Ina kasar China a shekarar da ta wuce.
common_voice_ha_42595175.wav	Nan wajen!
common_voice_ha_42595176.wav	Jirgin ya rasa wani bangar nasa.
common_voice_ha_42595177.wav	Aliyu ba zai yi magana da kai ba.
common_voice_ha_42595178.wav	Ban san cewar Jami da Zainab ƙarya suke yi ba.
common_voice_ha_42595179.wav	An faɗa mani za ku yarda ku taimaka.
common_voice_ha_42595180.wav	Nasan cewa Aliko yasan cewa Hamsatutu tasan cewa bata bukaci yin haka ba.
common_voice_ha_42595181.wav	‘Yan sanda sun tuntuɓi sauran daliban uku.
common_voice_ha_42595182.wav	Tijjani ya ce ya san gobe zai iya yin wannan gobe.
common_voice_ha_42595183.wav	Kina son ki kuma dawowa ofishi na?
